GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2025-05-11T13:22:18,38.5395043,-121.7793913,,113,,0.00,,65535,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.363,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:19,38.5395041,-121.7794151,,114,,2.17,,0,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.826,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:22,38.5395015,-121.7794983,,118,,2.17,,65535,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.205,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:23,38.5395037,-121.7795450,,120,,5.68,,0,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.629,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:24,38.5395067,-121.7796009,,122,51,10.43,,373,,,,,,29,,,,,,,,,,,,,,,,373,171,,,,,,,,,,,,,0.0,0.0,0.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,17.064,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:25,38.5395093,-121.7796676,,124,62,16.09,,497,,,,,,29,,,,,,,,,,,,,,,,870,177,,,,,,,,,,,,,0.0,0.0,28.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.390,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:26,38.5395106,-121.7797422,,126,71,22.50,,521,,,,,,29,,,,,,,,,,,,,,,,1391,176,,,,,,,,,,,,,0.0,0.0,28.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,23.076,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:27,38.5395110,-121.7798236,,129,77,29.69,,535,,,,,,29,,,,,,,,,,,,,,,,1926,178,,,,,,,,,,,,,0.0,0.0,31.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,25.898,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:28,38.5395116,-121.7799148,,132,88,37.68,,619,,,,,,29,,,,,,,,,,,,,,,,2545,178,,,,,,,,,,,,,0.0,0.0,31.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,28.753,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:29,38.5395129,-121.7800155,,134,97,46.35,,534,,,,,,29,,,,,,,,,,,,,,,,3079,175,,,,,,,,,,,,,0.0,0.0,30.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.241,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:30,38.5395137,-121.7801197,,138,98,55.44,,557,,,,,,29,,,,,,,,,,,,,,,,3636,186,,,,,,,,,,,,,0.0,0.0,28.0,32.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.717,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:31,38.5395154,-121.7802287,,140,101,64.83,,344,,,,,,29,,,,,,,,,,,,,,,,3980,167,,,,,,,,,,,,,0.0,0.0,30.0,32.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.793,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:32,38.5395184,-121.7803348,,144,101,74.21,,198,,,,,,29,,,,,,,,,,,,,,,,4178,178,,,,,,,,,,,,,0.0,0.0,30.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.757,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:33,38.5395209,-121.7804421,,146,101,83.49,,200,,,,,,29,,,,,,,,,,,,,,,,4378,177,,,,,,,,,,,,,0.0,0.0,30.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.422,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:34,38.5395220,-121.7805492,,150,100,92.76,,172,,,,,,29,,,,,,,,,,,,,,,,4550,166,,,,,,,,,,,,,0.0,0.0,29.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.354,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:35,38.5395234,-121.7806552,,152,100,101.97,,179,,,,,,29,,,,,,,,,,,,,,,,4729,179,,,,,,,,,,,,,0.0,0.0,28.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.188,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:36,38.5395261,-121.7807597,,155,99,111.15,,184,,,,,,29,,,,,,,,,,,,,,,,4913,180,,,,,,,,,,,,,0.0,0.0,31.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.987,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:37,38.5395302,-121.7808656,,157,99,120.25,,185,,,,,,29,,,,,,,,,,,,,,,,5098,186,,,,,,,,,,,,,0.0,0.0,28.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.818,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:38,38.5395325,-121.7809704,,158,99,129.40,,167,,,,,,29,,,,,,,,,,,,,,,,5265,181,,,,,,,,,,,,,0.0,0.0,28.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.886,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:39,38.5395343,-121.7810735,,159,99,138.46,,180,,,,,,29,,,,,,,,,,,,,,,,5445,180,,,,,,,,,,,,,0.0,0.0,29.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.616,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:40,38.5395361,-121.7811768,,160,97,147.39,,215,,,,,,29,,,,,,,,,,,,,,,,5660,187,,,,,,,,,,,,,0.0,0.0,29.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.180,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:41,38.5395393,-121.7812766,,161,97,156.25,,224,,,,,,29,,,,,,,,,,,,,,,,5884,182,,,,,,,,,,,,,0.0,0.0,29.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.910,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:42,38.5395432,-121.7813809,,161,97,165.11,,367,,,,,,29,,,,,,,,,,,,,,,,6251,185,,,,,,,,,,,,,0.0,0.0,28.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.842,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:43,38.5395455,-121.7814812,,161,96,174.01,,282,,,,,,29,,,,,,,,,,,,,,,,6533,183,,,,,,,,,,,,,0.0,0.0,30.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.080,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:44,38.5395488,-121.7815833,,161,96,182.96,,257,,,,,,29,,,,,,,,,,,,,,,,6790,174,,,,,,,,,,,,,0.0,0.0,35.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.245,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:45,38.5395496,-121.7816853,,161,97,191.89,,327,,,,,,29,,,,,,,,,,,,,,,,7117,184,,,,,,,,,,,,,0.0,0.0,35.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.144,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:46,38.5395514,-121.7817905,,161,97,200.88,,294,,,,,,29,,,,,,,,,,,,,,,,7411,175,,,,,,,,,,,,,0.0,0.0,35.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.346,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:47,38.5395543,-121.7818970,,162,98,209.92,,271,,,,,,29,,,,,,,,,,,,,,,,7682,180,,,,,,,,,,,,,0.0,0.0,32.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.515,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:48,38.5395561,-121.7820015,,162,98,218.96,,210,,,,,,29,,,,,,,,,,,,,,,,7892,171,,,,,,,,,,,,,0.0,0.0,31.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.584,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:49,38.5395574,-121.7821040,,162,98,227.99,,242,,,,,,29,,,,,,,,,,,,,,,,8134,175,,,,,,,,,,,,,0.0,0.0,31.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.483,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:50,38.5395607,-121.7822097,,163,98,237.09,,210,,,,,,29,,,,,,,,,,,,,,,,8344,176,,,,,,,,,,,,,0.0,0.0,29.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.785,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:51,38.5395618,-121.7823136,,163,98,246.29,,205,,,,,,29,,,,,,,,,,,,,,,,8549,177,,,,,,,,,,,,,0.0,0.0,29.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.088,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:52,38.5395630,-121.7824205,,164,109,255.57,,289,,,,,,29,,,,,,,,,,,,,,,,8838,171,,,,,,,,,,,,,0.0,0.0,31.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.390,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:53,38.5395621,-121.7825271,,165,95,264.89,,246,,,,,,29,,,,,,,,,,,,,,,,9084,176,,,,,,,,,,,,,0.0,0.0,32.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.592,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:54,38.5395648,-121.7826330,,166,102,274.25,,238,,,,,,29,,,,,,,,,,,,,,,,9322,177,,,,,,,,,,,,,0.0,0.0,30.0,32.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.692,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:55,38.5395664,-121.7827355,,167,101,283.57,,210,,,,,,29,,,,,,,,,,,,,,,,9532,179,,,,,,,,,,,,,0.0,0.0,27.0,27.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.523,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:56,38.5395690,-121.7828433,,168,101,292.84,,214,,,,,,29,,,,,,,,,,,,,,,,9746,185,,,,,,,,,,,,,0.0,0.0,27.0,27.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.390,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:57,38.5395708,-121.7829510,,168,101,302.10,,220,,,,,,29,,,,,,,,,,,,,,,,9966,169,,,,,,,,,,,,,0.0,0.0,27.0,27.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.354,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:58,38.5395698,-121.7830557,,169,99,311.32,,196,,,,,,29,,,,,,,,,,,,,,,,10162,184,,,,,,,,,,,,,0.0,0.0,29.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.188,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:22:59,38.5395738,-121.7831630,,170,100,320.48,,200,,,,,,29,,,,,,,,,,,,,,,,10362,176,,,,,,,,,,,,,0.0,0.0,26.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.951,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:00,38.5395751,-121.7832684,,170,100,329.60,,209,,,,,,29,,,,,,,,,,,,,,,,10571,184,,,,,,,,,,,,,0.0,0.0,26.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.850,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:01,38.5395768,-121.7833704,,170,98,338.65,,183,,,,,,29,,,,,,,,,,,,,,,,10754,182,,,,,,,,,,,,,0.0,0.0,26.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.584,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:02,38.5395790,-121.7834712,,171,98,347.60,,217,,,,,,29,,,,,,,,,,,,,,,,10971,183,,,,,,,,,,,,,0.0,0.0,25.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.213,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:03,38.5395812,-121.7835734,,171,97,356.50,,238,,,,,,29,,,,,,,,,,,,,,,,11209,184,,,,,,,,,,,,,0.0,0.0,28.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.044,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:04,38.5395838,-121.7836765,,171,96,365.44,,342,,,,,,29,,,,,,,,,,,,,,,,11551,184,,,,,,,,,,,,,0.0,0.0,30.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.144,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:05,38.5395864,-121.7837809,,172,98,374.52,,256,,,,,,29,,,,,,,,,,,,,,,,11807,168,,,,,,,,,,,,,0.0,0.0,30.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.749,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:06,38.5395877,-121.7838866,,172,99,383.71,,203,,,,,,29,,,,,,,,,,,,,,,,12010,172,,,,,,,,,,,,,0.0,0.0,30.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,33.052,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:07,38.5395875,-121.7839920,,172,98,392.83,,197,,,,,,29,,,,,,,,,,,,,,,,12207,184,,,,,,,,,,,,,255,255,255,255,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.850,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:08,38.5395900,-121.7840971,,172,99,401.97,,167,,,,,,29,,,,,,,,,,,,,,,,12374,182,,,,,,,,,,,,,0.0,0.0,28.0,27.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.886,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:09,38.5395938,-121.7842037,,172,99,411.08,,161,,,,,,29,,,,,,,,,,,,,,,,12535,179,,,,,,,,,,,,,0.0,0.0,25.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.818,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:10,38.5395956,-121.7843097,,172,98,420.19,,177,,,,,,29,,,,,,,,,,,,,,,,12712,181,,,,,,,,,,,,,0.0,0.0,25.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.749,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:11,38.5395949,-121.7844140,,173,98,429.26,,163,,,,,,29,,,,,,,,,,,,,,,,12875,180,,,,,,,,,,,,,0.0,0.0,25.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.684,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:12,38.5395942,-121.7845153,,173,98,438.29,,195,,,,,,29,,,,,,,,,,,,,,,,13070,185,,,,,,,,,,,,,0.0,0.0,27.0,28.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.515,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:13,38.5395957,-121.7846174,,173,97,447.30,,178,,,,,,29,,,,,,,,,,,,,,,,13248,184,,,,,,,,,,,,,0.0,0.0,23.0,27.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.447,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:14,38.5395988,-121.7847201,,173,99,456.29,,188,,,,,,29,,,,,,,,,,,,,,,,13436,184,,,,,,,,,,,,,0.0,0.0,23.0,27.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.346,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:15,38.5396015,-121.7848220,,173,97,465.28,,187,,,,,,29,,,,,,,,,,,,,,,,13623,184,,,,,,,,,,,,,0.0,0.0,27.0,26.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.382,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:16,38.5396064,-121.7849241,,173,97,474.26,,160,,,,,,29,,,,,,,,,,,,,,,,13783,175,,,,,,,,,,,,,0.0,0.0,27.0,26.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.314,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:17,38.5396105,-121.7850255,,173,97,483.26,,174,,,,,,29,,,,,,,,,,,,,,,,13957,180,,,,,,,,,,,,,0.0,0.0,27.0,28.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.414,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:18,38.5396133,-121.7851286,,173,97,492.24,,146,,,,,,29,,,,,,,,,,,,,,,,14103,171,,,,,,,,,,,,,0.0,0.0,27.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.281,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:19,38.5396152,-121.7852307,,174,97,501.17,,156,,,,,,29,,,,,,,,,,,,,,,,14259,179,,,,,,,,,,,,,0.0,0.0,27.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.180,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:20,38.5396168,-121.7853322,,173,96,510.03,,184,,,,,,29,,,,,,,,,,,,,,,,14443,186,,,,,,,,,,,,,0.0,0.0,25.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.910,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:21,38.5396182,-121.7854344,,173,96,518.88,,215,,,,,,29,,,,,,,,,,,,,,,,14658,182,,,,,,,,,,,,,0.0,0.0,27.0,32.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.842,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:22,38.5396179,-121.7855355,,174,96,527.76,,238,,,,,,29,,,,,,,,,,,,,,,,14896,181,,,,,,,,,,,,,0.0,0.0,31.0,32.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.979,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:23,38.5396177,-121.7856345,,173,95,536.64,,197,,,,,,29,,,,,,,,,,,,,,,,15093,186,,,,,,,,,,,,,0.0,0.0,26.0,28.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.943,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:24,38.5396184,-121.7857361,,174,97,545.44,,275,,,,,,29,,,,,,,,,,,,,,,,15368,188,,,,,,,,,,,,,0.0,0.0,26.0,28.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.709,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:25,38.5396169,-121.7858394,,173,95,554.37,,303,,,,,,29,,,,,,,,,,,,,,,,15671,181,,,,,,,,,,,,,0.0,0.0,29.0,28.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.144,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:26,38.5396155,-121.7859429,,174,97,563.30,,241,,,,,,29,,,,,,,,,,,,,,,,15912,177,,,,,,,,,,,,,0.0,0.0,30.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.144,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:27,38.5396188,-121.7860483,,174,98,572.26,,269,,,,,,29,,,,,,,,,,,,,,,,16181,182,,,,,,,,,,,,,0.0,0.0,30.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.213,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:28,38.5396219,-121.7861515,,174,97,581.26,,254,,,,,,29,,,,,,,,,,,,,,,,16435,176,,,,,,,,,,,,,0.0,0.0,27.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.447,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:29,38.5396218,-121.7862515,,174,98,590.31,,213,,,,,,29,,,,,,,,,,,,,,,,16648,179,,,,,,,,,,,,,0.0,0.0,27.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.548,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:30,38.5396201,-121.7863538,,174,97,599.25,,194,,,,,,29,,,,,,,,,,,,,,,,16842,185,,,,,,,,,,,,,0.0,0.0,27.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,32.180,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:31,38.5396228,-121.7864533,,174,96,608.07,,180,,,,,,29,,,,,,,,,,,,,,,,17022,184,,,,,,,,,,,,,0.0,0.0,26.0,27.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.777,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:32,38.5396239,-121.7865513,,175,95,616.81,,206,,,,,,29,,,,,,,,,,,,,,,,17228,185,,,,,,,,,,,,,0.0,0.0,28.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.475,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:33,38.5396258,-121.7866519,,175,95,625.47,,204,,,,,,29,,,,,,,,,,,,,,,,17432,182,,,,,,,,,,,,,0.0,0.0,29.0,25.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.172,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:23:34,38.5396264,-121.7867526,,175,93,634.09,,232,,,,,,29,,,,,,,,,,,,,,,,17664,182,,,,,,,,,,,,,0.0,0.0,29.0,25.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,31.039,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
